Activity ID,Activity Type,Elapsed Time,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Elapsed Speed,Month,Distance_km,Day_of_Week_Friday,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_nan
16048519433,Ride,1.6888416316157973,0.863203425215371,1.924933051612212,2.5426271412824106,3.626044975865111,3.507267192996525,-0.2573904978495023,3.088900223665273,0.8513367188406732,0.1557564378386659,0.09748705766206964,-0.11624763874382193,4.453647512179577,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16051506702,Ride,0.33860144592389424,-0.09150854723731638,0.9748873768192655,1.9440271763045558,1.089749123980938,1.2305870355399608,-1.5418454358287212,-0.7977837487051482,-0.02446689459764187,0.1557564378386659,-0.16075399547494845,-0.11624763874382193,0.7218187681871171,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16055901411,Walk,0.1965361075302516,-0.45043585980125805,-0.5162439140809224,-0.5707752739650944,-0.5199275873408453,-0.5163970580645,-0.07542604830244636,-0.4474533906513518,0.1900156229790884,0.5451475324353307,-0.6056791596851557,-0.11624763874382193,-0.49244963266508357,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16075755200,Ride,3.0932166955279516,0.14899009166422325,1.0063458428720122,1.1323051458737052,0.9317958287126581,1.0953328100119213,-0.7979319509157569,1.1521682442357946,0.7738846986046315,0.07787821891933296,-0.49087002152941245,-0.11624763874382193,0.8917633865709139,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16089881911,Ride,0.9160516186242165,1.8231172427776807,1.0000541496614628,-0.09200906820992086,2.2671643364196807,2.3471791881370825,-1.033415356211947,1.1521682442357946,1.2505125154418095,0.1557564378386659,-0.16743264340090586,-0.11624763874382193,1.5168096607062458,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16092930084,Walk,-0.5017453159210588,-0.39945777772695906,-0.9440790523982759,-0.6983830587069684,-0.5536885970165082,-0.5753845837353191,1.4712717728475295,0.722517805113214,-0.542799645408073,0.23363465675799888,-0.2676123622902663,-0.11624763874382193,-0.4871918340220925,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16095755280,Walk,-0.43559958423680945,-0.47349737312058376,-0.5020876043571864,-0.6124895572388125,-0.6001099853205447,-0.6045804297744114,-0.10218552617701342,-1.452174417522617,-0.8883548126150271,0.3115128756773318,-0.5815088148102624,-0.11624763874382193,-0.5021850182023356,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16098264675,Walk,-0.3718629062559407,-0.47193681958769707,-0.7845846295108507,-0.6342947507682561,-0.5199275873408453,-0.5169928916571346,-0.3323170358982901,-0.22932316771219546,0.2972568817674535,-0.1557564378386659,-0.5955021723694112,-0.11624763874382193,-0.5023403700992067,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16098480370,Workout,-0.45483759881094854,-0.5008937573645947,-1.1265381555042062,0.8592662008093687,-0.6001099853205447,-0.6045804297744114,1.5515502064712308,0.43828751461673754,-1.4781817359510352,0.1557564378386659,-0.6123578076111131,-0.11624763874382193,-0.510850201783365,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16102977017,Ride,-0.3610221645907281,0.0690550718130266,1.6072025444794718,1.3949155201196122,1.0571938646508343,1.224032866020981,-0.8246914287903239,1.1521682442357946,1.4173322513348223,0.07787821891933296,2.0905864172799173,-0.11624763874382193,0.8765181870913021,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16109929452,Walk,0.8946454557170348,0.03316234055663243,1.2328467984517877,1.1489908591831925,1.1391848881488729,0.9493535798164597,-1.1565089544349556,0.6233677037772338,1.5007421192813284,0.23363465675799888,-0.354116754474095,-0.11624763874382193,0.6511957958695408,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16112607346,Walk,-0.39856898731055956,-0.4268541619709701,-0.7052306488927974,-0.7084324087683642,-0.6001099853205447,-0.6045804297744114,0.40089265786484735,-0.9762539311099123,-1.4245611065568526,0.1557564378386659,-0.5716498583481349,-0.11624763874382193,-0.49445194600253256,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16123509909,Workout,-0.4285444983911949,-0.5010671522015822,-1.1941738575176113,-0.9230713572494954,-0.6001099853205447,-0.6045804297744114,1.594365371070538,0.49116756866259365,-1.4781817359510352,0.1557564378386659,-0.6139479618791982,-0.11624763874382193,-0.5111747146346067,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16124462984,Walk,-0.5116912662107299,-0.46933589703288586,-0.8854876593750355,-0.7076739672542965,-0.6001099853205447,-0.6045804297744114,1.4338085038231356,0.49116756866259365,-0.2866121938580898,0.1557564378386659,-0.42471960397707287,-0.11624763874382193,-0.5040009092635394,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16141488518,Ride,-0.47022112745967876,-0.2768676279768592,0.7295113416078424,1.378229806810125,-0.047273451881565114,-0.048071854253754306,-0.8246914287903239,-0.5532134987430638,-0.24490725988483672,0.1557564378386659,2.59784562879906,-0.11624763874382193,0.03059949051347064,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16159788864,Workout,-0.48140601965394564,-0.4986396244837584,-1.1052250447534702,-0.7518531854487344,-0.6001099853205447,-0.6045804297744114,1.5461983108963173,0.4316775078610054,-1.4781817359510352,0.1557564378386659,-0.610767653343028,-0.11624763874382193,-0.5107397293233678,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16172455321,Workout,-0.4568336718794639,-0.5010671522015822,-1.1856800716833695,-0.9230713572494954,-0.6001099853205447,-0.6045804297744114,1.492679355147183,0.3721874470594174,-1.4781817359510352,-5.996622856788637,-0.6136299310255812,-0.11624763874382193,-0.5111298351977328,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16180694145,Run,-0.5100737587241744,-0.4435000663217616,-0.8418390377268494,-0.4075207380620432,-0.5808179797915944,-0.5813429196616644,1.3695857569241745,0.49116756866259365,-1.2041207412696577,0.1557564378386659,0.1108443535139843,-0.11624763874382193,-0.4800145763866503,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16181055135,Walk,-0.4661601512168372,-0.4242532394161589,-0.1495168460710291,-0.6348635819038068,-0.5579087232259661,-0.566447079845801,1.465919877272616,0.6762477578230897,-0.35810636638366644,0.07787821891933296,-0.48578152787154016,-0.11624763874382193,-0.4879271663339487,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16192467746,Walk,-0.4910766495203734,-0.39217519457348776,-0.3919829731725734,-0.6623570867887574,-0.5615259742626442,-0.5777679181058573,1.3642338613492613,0.7357378186246777,-0.4832211683034258,0.3115128756773318,-0.3242218542340954,-0.11624763874382193,-0.4813540549641162,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16265910034,Ride,0.36954057848588184,-0.3361686622265539,2.019308449770452,1.8569960125652987,-0.30108389962181636,-0.22622609845148076,0.026259967620908455,0.9803080685867622,-0.6381252087755087,0.1557564378386659,-0.4431653934868598,-0.11624763874382193,-0.029815136047490753,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16333797757,Workout,1.0599065397689418,7.477696271774154,-1.1941738575176113,-0.9230713572494954,-0.6001099853205447,-0.6045804297744114,-0.1503525863512341,-1.6636946337060412,-1.4781817359510352,0.1557564378386659,-0.6139479618791982,8.602325267042621,-0.5111747146346067,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12541930910,Walk,-0.4502948118274309,-0.1312159649074336,-0.6688961206018751,-0.7052090323335768,-0.4204531838321958,-0.42702201916931953,-0.2520386022745889,-0.4805034244300118,0.1066057550325823,0.23363465675799888,-0.24853051107324525,-0.11624763874382193,-0.42656661933426143,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12542607934,Walk,-0.38728084995757633,0.1347717150312555,-0.26803661692475184,-0.7044505908195092,-0.2739545168467301,-0.2822344561591272,-0.2573904978495023,-0.28220322175805157,1.030072150154615,0.1557564378386659,-0.27492707192345767,-0.11624763874382193,-0.365250951771448,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12551183419,Walk,-0.0257163041330585,0.9930761581189421,0.08634300315943845,-0.6995207209780697,0.044363574380948415,0.03236568075190812,-0.29485376687389625,-0.09051302584182318,1.4709528807290047,0.1557564378386659,-0.390690302640052,-0.11624763874382193,-0.1605075084885373,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12592840857,Walk,-0.12207845226828122,0.2996702050062838,-0.3422785968092337,-0.6930739681084952,-0.1865376167936745,-0.19583858522711942,-0.2520386022745889,-0.1500030866434114,0.1185214504535117,0.1557564378386659,-0.46129315214302985,-0.11624763874382193,-0.317778864352032,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12616365854,Walk,-0.2960809597581691,-0.2680244912905012,-0.7985050007391911,-0.6798012416123121,-0.4481854417800617,-0.4544303644305082,-0.027258988128225657,-0.24254318122365942,0.06490082105932904,0.3115128756773318,-0.5309419090851567,-0.11624763874382193,-0.45164386775362286,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12624505267,Walk,0.04404300810626166,0.5320192865694151,-0.12647351968739215,-0.7002791624921374,-0.0526993284365824,-0.0635635276622523,-0.41794736509690467,-0.2689832082465874,1.0121986070232205,0.1557564378386659,-0.4791028799455828,-0.11624763874382193,-0.2695023993332615,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12632164910,Walk,0.23862571723360068,0.21106544330571655,0.41508397341064024,-0.5338012501542988,-0.1654369857463852,-0.20537192270927196,-0.42329926067181806,-0.4805034244300118,1.0598613887069386,0.1557564378386659,-0.49277820665111455,-0.11624763874382193,-0.22006597348452053,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12658221609,Walk,1.176642399224183,0.45693932215386596,0.46447376511345234,-0.5821518966761084,-0.027378571179835224,-0.08382186981182649,-0.5999118146439607,-0.4738934176742797,1.4769107284394696,0.1557564378386659,-0.5500237603021777,-0.11624763874382193,-0.16827855559646443,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12678300560,Walk,-0.24414864492386515,-0.1889564456242416,-0.5445565335283943,-0.6631155283028249,-0.45722856937175715,-0.46336786832002624,-0.2520386022745889,-0.4805034244300118,-0.6679144473278323,0.23363465675799888,-0.5172665823796249,-0.11624763874382193,-0.42599009118365116,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12854833552,Walk,0.1370324810567516,0.75743257465305,-0.12128287278868904,-0.6779051378271431,0.08777058682108632,0.07526569942159468,-0.4768182164209522,-0.24254318122365942,1.3458380788092452,0.1557564378386659,-0.45843087446047665,-0.11624763874382193,-0.18714518040535894,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13013310892,Walk,5.812350025586505,-0.446621173387535,-0.9613812087272866,-0.6775259170701093,-0.4982240811207763,-0.5038845526191748,-0.2520386022745889,-0.632533579811848,-0.8228184877999152,0.0,-0.6133119001719641,-0.11624763874382193,-0.4971412599505891,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13601912296,Walk,-0.38872628217960464,0.1479497226422988,-0.45804575188334123,-0.7014168247632389,-0.5253534638958626,-0.5306970642877289,0.9039708419067078,0.5440476227084495,0.24959410008373564,0.0,-0.25934356009622384,-0.11624763874382193,-0.36014850502532797,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13806017411,Run,-0.42916396934349277,-0.1509829763239985,-0.8182451881872896,-0.6265207252490631,-0.3481081630986325,-0.3555219880531752,-0.30020566244880964,-0.4805034244300118,0.24959410008373564,0.1557564378386659,-0.24853051107324525,-0.11624763874382193,-0.40217291926113274,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13842830417,Walk,-0.24745249000278707,0.35220884061346946,-0.20637802346136846,-0.666907735873163,-0.13529322710740052,-0.14519272985318382,-0.460762529696212,-0.4738934176742797,1.2326389723104156,0.0,-0.3506184150843078,-0.11624763874382193,-0.281616395024828,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14002653886,Walk,-0.303480196132838,0.2086379155878928,-0.03807523007917435,-0.6435856593155841,-0.15337948229079135,-0.1291052228520513,-0.37513220049759743,-0.4805034244300118,0.49386585621278956,0.07787821891933296,-0.3140448669183508,-0.11624763874382193,-0.30286853451678675,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14157421909,Walk,-0.23083001944946116,0.26377747374988963,-0.5280408388507023,-0.6983830587069684,-0.2992752741034773,-0.3072594670497777,-0.4500587385463851,-0.4738934176742797,0.2078891661104826,-0.07787821891933293,-0.4186770177583495,-0.11624763874382193,-0.33065235820607913,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16075257420,Walk,-0.4277185371214644,-0.23195836519711963,0.6650214861997119,0.15448442386204966,-0.3595627913814467,-0.3638636583500587,-1.488326480079587,-1.2009941608048007,0.04702727792793503,0.1557564378386659,0.39166559725781064,-0.11624763874382193,-0.20670571035361077,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16081910978,Walk,-0.4414845582836391,-0.3436246402170126,1.0826326230499226,0.548115569663135,-0.3390650355069371,-0.3513511529047334,-0.6159675013687008,-0.4805034244300118,1.3577537742301748,0.1557564378386659,0.3239250254373859,-0.11624763874382193,-0.2679626894220507,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16086054788,Walk,-0.41460640196449305,-0.2087234570408065,1.2371723375340402,0.020619496629118054,-0.189551992657573,-0.18868858211550496,-1.434807524330453,-1.1877741472933367,0.3866245974244244,0.1557564378386659,0.22787970764504664,-0.11624763874382193,-0.22149866320010902,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16092253934,Walk,-0.44385919693411424,-0.3011429051550968,2.2399109429653374,0.29062467563718414,-0.33243340860636045,-0.30785530064241223,-1.434807524330453,-1.2142141743162647,1.3279645356778513,0.23363465675799888,0.39770818347653397,-0.11624763874382193,-0.2563768901798458,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16096197643,Walk,-0.4467156463252655,-0.2909126097728395,1.0012338421384408,0.32399610225615866,-0.18472899127533537,-0.19285941726394673,-1.434807524330453,-1.1877741472933367,0.6904748306581253,0.1557564378386659,0.5195140004118516,-0.11624763874382193,-0.23596365093099064,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16096897897,Walk,-0.3664941580026926,-0.3469191421197734,-0.4562368900853083,-0.6543934508910475,-0.5518799714981691,-0.5682345806237047,-0.4714663208460388,-1.5182744850799372,1.423290099045287,0.07787821891933296,-0.5261714462809014,-0.11624763874382193,-0.467696897096964,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16112382229,Ride,-0.23588903222656035,0.6507947499057919,1.759776104835293,2.5668972697325736,3.6718634889963684,3.563871384296806,-0.8407471155150642,1.9321490414121714,1.2326389723104156,0.1557564378386659,4.035981148855212,-0.11624763874382193,3.7100125045016403,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16118076669,Ride,-0.34116467906429115,0.2691527136964994,1.3838474355049712,1.339738899971194,1.669112165022224,1.7132122455739356,-1.1136937898356483,0.18710725789892113,0.8453788711302084,0.1557564378386659,2.5647704200228896,-0.11624763874382193,1.3189120576787854,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16133921436,Walk,-0.4450637237858045,-0.31848238885383795,1.1199895514875593,0.4406064850440525,-0.3818691727742954,-0.39127200361124737,-0.7444129951666227,-1.1877741472933367,-0.7096193813010854,0.1557564378386659,0.4400062870075973,-0.11624763874382193,-0.2497209244650153,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16138332726,Ride,-0.4116811224675309,-0.3321805809758434,0.7861365805027861,0.41595713583685545,-0.4934010797385388,-0.49375538154438764,-0.8996179668391118,-1.306754268896513,-0.6083359702231851,0.1557564378386659,0.05805123181355946,-0.11624763874382193,-0.2737038050775295,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16145215398,Walk,-0.4977875848369335,-0.4317092174066176,-0.9954349982293847,-0.6868168256174375,-0.5759949784093569,-0.6045804297744114,-0.3323170358982901,-1.624034593171649,-0.7513243152743385,0.7009039702739964,-0.4034115367847326,-0.11624763874382193,-0.4939686289900449,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16149528443,Walk,-0.4883578603408439,-0.45199641333414475,-0.8497036542400361,-0.6564791650547335,-0.6001099853205447,-0.6045804297744114,-0.09148173502718658,-1.524884491835669,-1.2934884569266285,0.1557564378386659,-0.4905519906757954,-0.11624763874382193,-0.49743470242245663,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16186416270,Ride,-0.496170077350378,-0.37050083995006133,1.0456689254379457,1.749486927946216,-0.2787775182289677,-0.31440947016139215,-0.8460990110899775,-1.2009941608048007,0.3985402928453538,0.1557564378386659,3.60536737305777,-0.11624763874382193,-0.144775539732063,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16186981395,Walk,-0.5146509607605975,-0.4989864141577332,-1.1793883784728203,-0.8986116184208152,-0.6001099853205447,-0.6045804297744114,0.40624455343976074,-0.9762539311099123,-1.4781817359510352,0.1557564378386659,-0.6120397767574961,-0.11624763874382193,-0.5111229306689831,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16257268664,Ride,-0.48033915301387714,-0.36425862581851454,1.1227421672671747,1.4607103214649766,-0.05450795395492146,-0.10288854477613167,-0.8460990110899775,1.634698737404231,1.4411636421766811,0.23363465675799888,1.8899089486475795,-0.11624763874382193,-0.16872389770082805,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16048519433,Ride,1.6888416316157973,0.863203425215371,1.924933051612212,2.5426271412824106,3.626044975865111,3.507267192996525,-0.2573904978495023,3.088900223665273,0.8513367188406732,0.1557564378386659,0.09748705766206964,-0.11624763874382193,4.453647512179577,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16051506702,Ride,0.33860144592389424,-0.09150854723731638,0.9748873768192655,1.9440271763045558,1.089749123980938,1.2305870355399608,-1.5418454358287212,-0.7977837487051482,-0.02446689459764187,0.1557564378386659,-0.16075399547494845,-0.11624763874382193,0.7218187681871171,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16055901411,Walk,0.1965361075302516,-0.45043585980125805,-0.5162439140809224,-0.5707752739650944,-0.5199275873408453,-0.5163970580645,-0.07542604830244636,-0.4474533906513518,0.1900156229790884,0.5451475324353307,-0.6056791596851557,-0.11624763874382193,-0.49244963266508357,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16075755200,Ride,3.0932166955279516,0.14899009166422325,1.0063458428720122,1.1323051458737052,0.9317958287126581,1.0953328100119213,-0.7979319509157569,1.1521682442357946,0.7738846986046315,0.07787821891933296,-0.49087002152941245,-0.11624763874382193,0.8917633865709139,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16089881911,Ride,0.9160516186242165,1.8231172427776807,1.0000541496614628,-0.09200906820992086,2.2671643364196807,2.3471791881370825,-1.033415356211947,1.1521682442357946,1.2505125154418095,0.1557564378386659,-0.16743264340090586,-0.11624763874382193,1.5168096607062458,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16092930084,Walk,-0.5017453159210588,-0.39945777772695906,-0.9440790523982759,-0.6983830587069684,-0.5536885970165082,-0.5753845837353191,1.4712717728475295,0.722517805113214,-0.542799645408073,0.23363465675799888,-0.2676123622902663,-0.11624763874382193,-0.4871918340220925,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16095755280,Walk,-0.43559958423680945,-0.47349737312058376,-0.5020876043571864,-0.6124895572388125,-0.6001099853205447,-0.6045804297744114,-0.10218552617701342,-1.452174417522617,-0.8883548126150271,0.3115128756773318,-0.5815088148102624,-0.11624763874382193,-0.5021850182023356,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16098264675,Walk,-0.3718629062559407,-0.47193681958769707,-0.7845846295108507,-0.6342947507682561,-0.5199275873408453,-0.5169928916571346,-0.3323170358982901,-0.22932316771219546,0.2972568817674535,-0.1557564378386659,-0.5955021723694112,-0.11624763874382193,-0.5023403700992067,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16098480370,Workout,-0.45483759881094854,-0.5008937573645947,-1.1265381555042062,0.8592662008093687,-0.6001099853205447,-0.6045804297744114,1.5515502064712308,0.43828751461673754,-1.4781817359510352,0.1557564378386659,-0.6123578076111131,-0.11624763874382193,-0.510850201783365,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16102977017,Ride,-0.3610221645907281,0.0690550718130266,1.6072025444794718,1.3949155201196122,1.0571938646508343,1.224032866020981,-0.8246914287903239,1.1521682442357946,1.4173322513348223,0.07787821891933296,2.0905864172799173,-0.11624763874382193,0.8765181870913021,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16109929452,Walk,0.8946454557170348,0.03316234055663243,1.2328467984517877,1.1489908591831925,1.1391848881488729,0.9493535798164597,-1.1565089544349556,0.6233677037772338,1.5007421192813284,0.23363465675799888,-0.354116754474095,-0.11624763874382193,0.6511957958695408,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16112607346,Walk,-0.39856898731055956,-0.4268541619709701,-0.7052306488927974,-0.7084324087683642,-0.6001099853205447,-0.6045804297744114,0.40089265786484735,-0.9762539311099123,-1.4245611065568526,0.1557564378386659,-0.5716498583481349,-0.11624763874382193,-0.49445194600253256,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16123509909,Workout,-0.4285444983911949,-0.5010671522015822,-1.1941738575176113,-0.9230713572494954,-0.6001099853205447,-0.6045804297744114,1.594365371070538,0.49116756866259365,-1.4781817359510352,0.1557564378386659,-0.6139479618791982,-0.11624763874382193,-0.5111747146346067,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16124462984,Walk,-0.5116912662107299,-0.46933589703288586,-0.8854876593750355,-0.7076739672542965,-0.6001099853205447,-0.6045804297744114,1.4338085038231356,0.49116756866259365,-0.2866121938580898,0.1557564378386659,-0.42471960397707287,-0.11624763874382193,-0.5040009092635394,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16141488518,Ride,-0.47022112745967876,-0.2768676279768592,0.7295113416078424,1.378229806810125,-0.047273451881565114,-0.048071854253754306,-0.8246914287903239,-0.5532134987430638,-0.24490725988483672,0.1557564378386659,2.59784562879906,-0.11624763874382193,0.03059949051347064,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16159788864,Workout,-0.48140601965394564,-0.4986396244837584,-1.1052250447534702,-0.7518531854487344,-0.6001099853205447,-0.6045804297744114,1.5461983108963173,0.4316775078610054,-1.4781817359510352,0.1557564378386659,-0.610767653343028,-0.11624763874382193,-0.5107397293233678,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16172455321,Workout,-0.4568336718794639,-0.5010671522015822,-1.1856800716833695,-0.9230713572494954,-0.6001099853205447,-0.6045804297744114,1.492679355147183,0.3721874470594174,-1.4781817359510352,-5.996622856788637,-0.6136299310255812,-0.11624763874382193,-0.5111298351977328,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16180694145,Run,-0.5100737587241744,-0.4435000663217616,-0.8418390377268494,-0.4075207380620432,-0.5808179797915944,-0.5813429196616644,1.3695857569241745,0.49116756866259365,-1.2041207412696577,0.1557564378386659,0.1108443535139843,-0.11624763874382193,-0.4800145763866503,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16181055135,Walk,-0.4661601512168372,-0.4242532394161589,-0.1495168460710291,-0.6348635819038068,-0.5579087232259661,-0.566447079845801,1.465919877272616,0.6762477578230897,-0.35810636638366644,0.07787821891933296,-0.48578152787154016,-0.11624763874382193,-0.4879271663339487,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12570233587,Run,-0.49004419793321025,-0.34466500923893706,-0.7981117699135318,-0.42022463342267546,-0.4915924542201997,-0.5032887190265402,1.4766236684224427,0.689467771334554,-0.739408619853409,0.1557564378386659,0.16395550606802628,-0.11624763874382193,-0.42858964625796,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10987501033,Run,-0.3514547798830167,0.31718308354201236,-0.8909142447691342,-0.6593233207324869,-0.2769688927106286,-0.29593862878972155,1.5087350418719234,1.0464081361440822,0.6368542012639429,0.1557564378386659,-0.19700951278728845,-0.11624763874382193,-0.2845715333297527,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10325098223,Run,-0.4869812582246264,-0.3385961899443777,-0.8633880869729809,-0.4251545032641149,-0.5699662266815599,-0.5747887501426846,1.3909933392238283,0.6035376835100374,-1.025385309955716,0.1557564378386659,0.11943118656164382,-0.11624763874382193,-0.4262282974255201,0.0,0.0,0.0,0.0,0.0,0.0,1.0
